?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBcv_0000019>	"Penetrance is the fraction of individuals of a given genotype who exhibit the phenotype associated with that genotype. Penetrance is incomplete when only some the individuals of a given genotype exhibit the phenotype associated with that genotype."	
<http://purl.obolibrary.org/obo/FBcv_0000520>	"Mutation induced by exposure to a magnetic field."	
<http://purl.obolibrary.org/obo/FBcv_0000523>	"Mutation induced by exposure to supersonic radiation."	
<http://purl.obolibrary.org/obo/CHEBI_36388>		
<http://purl.obolibrary.org/obo/CHEBI_20702>	"Any aminopurine having the amino substituent at the 2-position."	
<http://purl.obolibrary.org/obo/CHEBI_62803>	"Any additive that enhances the efficiency of fuel."	
<http://purl.obolibrary.org/obo/FBcv_0000680>	"Phenotype that is any abnormality in proboscis extension reflex (GO:0007637). 'proboscis extension reflex' is defined as: 'The extension, through direct muscle actions, of the proboscis (the trunk-like extension of the mouthparts on the adult external head) in response to a nutritional stimulus.'"	
<http://purl.obolibrary.org/obo/FBcv_0000805>		
<http://purl.obolibrary.org/obo/FBcv_0000758>	"An allele shown by molecular evidence to make a normal gene product in normal amounts at high temperatures, but at lower temperatures to make a gene product that is functionally equivalent to wild-type but in a lesser amount or with lowered activity."	
<http://purl.obolibrary.org/obo/FBcv_0009036>	"A peptide sequence that can act as a recognition site for a protease (an enzyme that catalyzes hydrolysis of a peptide bond), where this property can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/CHEBI_33408>		
<http://purl.obolibrary.org/obo/CHEBI_38672>	"Any flavonoid with a 3,4-dihydro-2-aryl-2H-1-benzopyran skeleton and its substituted derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_22908>		
<http://purl.obolibrary.org/obo/FBcv_0007527>	"Any abnormality in adult walking behavior (GO:0007628), which is defined as 'The behavior of an adult relating to the progression of that organism along the ground by the process of lifting and setting down each leg.'."	
<http://purl.obolibrary.org/obo/FBcv_0000057>		
<http://purl.obolibrary.org/obo/CHEBI_84144>	"A proteinogenic amino acid derivative resulting from reaction of L-phenylalanine  at the amino group or the carboxy group, or from the replacement of any hydrogen of L-phenylalanine  by a heteroatom."	
<http://purl.obolibrary.org/obo/CHEBI_36389>		
<http://purl.obolibrary.org/obo/FBcv_0000021>	"Expressivity measures the extent to which a given genotype is expressed at the phenotypic level."	
<http://purl.obolibrary.org/obo/FBcv_0000230>		
<http://purl.obolibrary.org/obo/FBcv_0003064>	"An assay mapping genomic replication patterns by labeling newly synthesized DNA in vivo with 5-bromo-2-deoxyuridine (BrdU), with subsequent affinity purification and characterization by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/CHEBI_42820>	"An aminocarboxamidine, the parent compound of the guanidines."	"DrugBank:DB00536 PDBeChem:GAI Wikipedia:Guanidine"
<http://purl.obolibrary.org/obo/CHEBI_42485>		"PDBeChem:FOR"
<http://purl.obolibrary.org/obo/CHEBI_33452>	"Arylmethyl groups and derivatives formed by substitution: ArCR2-."	
<http://purl.obolibrary.org/obo/FBcv_0002021>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the first instar larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000240>	"Publication in the Catalan language."	
<http://purl.obolibrary.org/obo/CHEBI_38780>	"A compound having the nitro group (-NO2) attached to a nitrogen atom."	
<http://purl.obolibrary.org/obo/FBcv_0000170>	"Expression pattern that resembles small dots."	"PATO:0001512"
<http://purl.obolibrary.org/obo/FBcv_0002013>	"A phenotype of a population that is the death of the majority of animals in that population during the second instar larval stage."	
<http://purl.obolibrary.org/obo/CHEBI_83821>	"Any derivative of an amino acid resulting from reaction at an amino group, carboxy group, side-chain functional group, or from the replacement of any hydrogen by a heteroatom. The definition normally excludes peptides containing amino acid residues."	
<http://purl.obolibrary.org/obo/CHEBI_33838>	"An N-glycosyl compound that has both a nucleobase, normally adenine, guanine, xanthine, thymine, cytosine or uracil, and either a ribose or deoxyribose as functional parents."	"KEGG:C00801 Wikipedia:Nucleoside"
<http://purl.obolibrary.org/obo/FBcv_0000451>	"Phenotype that is any abnormality in wound healing (GO:0042060). 'wound healing' is defined as: 'The series of events that restore integrity to a damaged tissue, following an injury.'"	
<http://purl.obolibrary.org/obo/FBcv_0000012>		
<http://purl.obolibrary.org/obo/FBcv_0000231>	"A work consisting of a set of statements, directions, or principles presenting current or future rules or policy."	"MeSH:D016431"
<http://purl.obolibrary.org/obo/FBcv_0000011>		
<http://purl.obolibrary.org/obo/CHEBI_33245>	"An organic fundamental parent is a structure used as a basis for substitutive names in organic nomenclature, containing, in addition to one or more hydrogen atoms, a single atom of an element, a number of atoms (alike or different) linked together to form an unbranched chain, a monocyclic or polycyclic ring system, or a ring assembly or ring/chain system."	
<http://purl.obolibrary.org/obo/FBcv_0003233>	"An ordered list of a minimal set of overlapping clones that provides complete coverage across an assembly."	
<http://purl.obolibrary.org/obo/CHEBI_48857>		
<http://purl.obolibrary.org/obo/FBcv_0005026>	"A peptide sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and which is used to target the tagged protein to the peroxisome."	
<http://purl.obolibrary.org/obo/CHEBI_50313>	"Mononuclear cations derived by addition of a hydron to a mononuclear parent hydride of the pnictogen, chalcogen and halogen families."	
<http://purl.obolibrary.org/obo/CHEBI_48377>	"Compounds derived from oxoacids RkE(=O)l(OH)m (l =/= 0) by replacing =O by =NR; thus tautomers of amides. In organic chemistry an unspecified imidic acid is generally a carboximidic acid, RC(=NR)(OH)."	
<http://purl.obolibrary.org/obo/FBcv_0007503>	"Phenotype that is any abnormality in long-term memory (GO:0007616). 'long-term memory' is defined as: 'The memory process that deals with the storage, retrieval and modification of information a long time (typically weeks, months or years) after receiving that information. This type of memory is typically dependent on gene transcription regulated by second messenger activation.'"	
<http://purl.obolibrary.org/obo/CHEBI_35807>		"PPDB:1645 MetaCyc:CPD-18996 HMDB:HMDB0031419 Wikipedia:N-Nitrosodimethylamine KEGG:C14704 FooDB:FDB003496"
<http://purl.obolibrary.org/obo/CHEBI_25944>	"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."	"Wikipedia:Pesticide"
<http://purl.obolibrary.org/obo/CHEBI_33318>	"An atom belonging to one of the main groups (found in the s- and p- blocks) of the periodic table."	
<http://purl.obolibrary.org/obo/CHEBI_67142>	"A molecule that can substitute for a normal nucleobase in nucleic acids."	"Wikipedia:Base_analog"
<http://purl.obolibrary.org/obo/CHEBI_33676>	"A d-block molecular entity is a molecular entity containing one or more atoms of a d-block element."	
<http://purl.obolibrary.org/obo/CHEBI_59869>	"Zwitterionic form of an L-alpha-amino acid having an anionic carboxy group and a protonated amino group."	
<http://purl.obolibrary.org/obo/CHEBI_33250>	"A chemical entity constituting the smallest component of an element having the chemical properties of the element."	
<http://purl.obolibrary.org/obo/CHEBI_33287>	"A fertilizer is any substance that is added to soil or water to assist the growth of plants."	
<http://purl.obolibrary.org/obo/FBcv_0000144>		
<http://purl.obolibrary.org/obo/CHEBI_77962>	"An antioxidant that used as a food additives to help guard against food deterioration."	
<http://purl.obolibrary.org/obo/CHEBI_33833>	"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."	
<http://purl.obolibrary.org/obo/CHEBI_16385>	"Compounds having the structure RSR (R =/= H). Such compounds were once called thioethers."	"KEGG:C00297"
<http://purl.obolibrary.org/obo/FBcv_0000727>	"Expressed in mated females."	
<http://purl.obolibrary.org/obo/CHEBI_33300>	"Any p-block element atom that is in group 15 of the periodic table: nitrogen, phosphorus, arsenic, antimony and bismuth."	
<http://purl.obolibrary.org/obo/CHEBI_50247>	"Any protective agent counteracting or neutralizing the action of poisons."	
<http://purl.obolibrary.org/obo/FBcv_0005025>	"A peptide sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and which is used to target the tagged protein to the mitochondrion."	
<http://purl.obolibrary.org/obo/FBcv_0000694>	"An allele that has been shown by molecular evidence to make a gene product that is antagonistic to the function of the wild-type gene product."	
<http://purl.obolibrary.org/obo/CHEBI_38716>	"Any dianion containing at least one carboxy group."	
<http://purl.obolibrary.org/obo/CHEBI_22025>		
<http://purl.obolibrary.org/obo/FBcv_0003006>	"Characteristics associated with a given condition recapitulated in a different system."	
<http://purl.obolibrary.org/obo/CHEBI_33296>	"A molecular entity containing one or more atoms of an alkali metal."	
<http://purl.obolibrary.org/obo/FBcv_0000564>	"Mutation induced by exposure to 1,4-dimethanesulfonoxybut-2-yne."	
<http://purl.obolibrary.org/obo/FBcv_0000232>		
<http://purl.obolibrary.org/obo/CHEBI_45696>		
<http://purl.obolibrary.org/obo/FBcv_0000762>	"An allele that makes a gene product that is antagonistic to the function of the wild-type gene product at cold temperatures, but not at higher temperatures."	
<http://purl.obolibrary.org/obo/CHEBI_35359>	"Compounds having the structure RC(=NR)NR2. The term is used as a suffix in systematic nomenclature to denote the -C(=NH)NH2 group including its carbon atom."	"KEGG:C06060"
<http://purl.obolibrary.org/obo/CHEBI_36963>	"An organochalcogen compound containing at least one carbon-oxygen bond."	
<http://purl.obolibrary.org/obo/FBcv_0000114>	"40% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_23003>	"Any ester of carbamic acid or its N-substituted derivatives."	"Wikipedia:Carbamate"
<http://purl.obolibrary.org/obo/CHEBI_36914>		
<http://purl.obolibrary.org/obo/CHEBI_38870>		
<http://purl.obolibrary.org/obo/CHEBI_35801>		
<http://purl.obolibrary.org/obo/CHEBI_32504>	"An aromatic amino-acid anion that is the conjugate base of phenylalanine, arising from deprotonation of the carboxy group."	
<http://purl.obolibrary.org/obo/CHEBI_50683>	"An EC 1.5.1.* (oxidoreductase acting on donor CH-NH group, NAD(+) or NADP(+) as acceptor) inhibitor that interferes with the action of dihydrofolate reductase (EC 1.5.1.3)."	"Wikipedia:Dihydrofolate_reductase_inhibitor"
<http://purl.obolibrary.org/obo/CHEBI_15740>	"A monocarboxylic acid anion that is the conjugate base of formic acid. Induces severe metabolic acidosis and ocular injury in human subjects."	"MetaCyc:FORMATE KEGG:C00058 HMDB:HMDB0000142 Wikipedia:Formate"
